ngrama,coeficiente,pct_missing_train,pct_missing_test
bosqu pin,0.48290795,99.715355,100.0
bosqu medin,0.37811315,99.76969,100.0
ascensor priv,0.35498852,99.78263,100.0
ideal oficin,0.34815806,99.301315,99.85417
san felip,0.31278303,98.89505,99.69862
oficin ban,0.29717508,99.640305,99.815285
colin sub,0.29383463,99.239204,99.85417
jardn interior,0.27287993,99.69982,99.73751
comedor aux,0.27179632,99.774864,99.77639
sal conductor,0.26756474,99.40482,99.41669
canch tennis,0.26179498,99.723114,99.5139
jaul golf,0.23559286,99.80592,99.591675
espectacul penthous,0.22822201,99.78263,99.64029
mls rentahous,0.21679917,99.549736,99.212524
pati traser,0.21012767,99.774864,99.72778
rea lot,0.20708205,99.63513,99.77639
cubiert vehicul,0.20517394,99.67653,99.73751
centr comercial estacion,0.20502017,99.767105,99.77639
jardin interior,0.2043053,99.67136,99.62084
pol club,0.19911602,99.82145,99.825005
isla central,0.19021988,99.27544,99.2514
family room,0.18819746,98.962326,99.13475
pent hous,0.18640342,94.33301,92.718254
cubiert descubiert,0.18602581,99.11241,99.05697
esquiner nivel,0.18458204,97.38639,97.0737
parqu country,0.18317318,99.723114,99.825005
chic navarr,0.18025419,99.72829,99.73751
estudi nivel,0.17993692,99.645485,99.62084
cerr sub,0.17757931,99.135704,99.222244
mejor zon,0.17733425,99.81368,99.74723
carolin usaqun,0.17173207,99.73347,99.63056
sant ana,0.1692192,99.645485,99.815285
nivel are,0.16760017,98.92092,99.66946
acogedor espaci,0.1611425,99.7904,99.562515
exclus conjunt,0.15899026,99.76969,100.0
hermos penthous,0.15647148,98.522415,98.77503
pati intern,0.15642673,99.619606,99.74723
ban jacuzzi,0.15445079,99.16416,99.212524
viviend oficin,0.1542393,99.81627,99.9125
constru ubic barri,0.1519285,99.83439,99.78612
parqueader vehicul,0.15125932,99.73605,99.72778
muebl bibliotec,0.15082538,99.83439,99.75695
principal jacuzzi,0.14910664,99.78522,99.79584
cuart servici,0.14846349,99.68171,99.688896
cerr ampli,0.1477871,99.705,99.77639
call cien,0.14637467,99.38671,99.2514
luz trifas,0.14528243,97.45627,98.726425
chic reserv,0.14366426,98.253296,99.26113
line independient,0.14288154,99.71277,99.78612
visit alcob,0.14054428,99.5368,99.47501
penthous duplex,0.13981128,99.66618,99.53334
garaj vehicul,0.13954449,99.79557,99.90278
cuart ntild servici,0.13760135,99.82145,99.87361
estudi star,0.13725084,99.72829,99.88334
local pis,0.13568813,99.684296,99.6014
distribu nivel,0.1322295,99.62737,99.89306
acces direct,0.13054167,99.761925,99.17364
are terren,0.1301398,99.82145,99.87361
terraz balcon,0.12921076,99.18228,99.329185
san patrici,0.12773836,99.69206,100.0
comedor auxili,0.12772667,98.545715,98.979195
niz nort,0.12759164,98.78119,99.63056
chic nort,0.1272993,99.81627,99.95139
alcob pis mader,0.12677443,98.043686,97.45286
barri modeli,0.12659746,99.73347,99.65001
barri carolin,0.12575814,98.70873,98.94031
zon lavanderi terraz,0.12474189,99.66618,99.61112
sal principal,0.12261465,87.3853,85.8253
ubic chic,0.121696405,98.93645,98.82364
canch tenis,0.12080881,99.67912,99.41669
estudi comedor,0.1194019,99.59631,99.6014
mts2 mts2,0.11928933,99.60149,99.562515
m23 habit,0.119170435,99.6429,99.805565
sant paul,0.11849515,99.02702,98.988914
pis marmol,0.11833464,99.187454,98.988914
constru lot,0.11774492,97.26736,95.518196
aven sub,0.115765385,99.6429,99.30002
terraz edifici,0.11473945,99.80075,99.815285
are lot,0.113874644,99.51868,99.348625
complet social,0.112421185,99.52904,99.319466
sal esper,0.11043064,96.95682,96.25706
habit servici,0.11001195,99.161575,98.6292
cerc banc,0.107754976,96.62819,98.22089
bao servici,0.1063044,98.848465,99.48473
previ fin,0.10615814,99.60149,99.90278
comercial transport public,0.106149234,98.605225,98.366714
pati jardin,0.10557559,99.45141,99.329185
closet alcob,0.10542368,99.74381,99.572235
rop garaj cubiert,0.104819864,97.62188,97.82228
comercial nivel,0.10474881,99.75675,99.79584
excelent carolin,0.10464153,99.505745,98.8042
terraz cuart,0.10355321,99.24956,99.40697
complet ban,0.10339584,99.27803,99.815285
cuart ban,0.1030402,99.58855,99.572235
sub boyac,0.103032924,99.7464,99.98056
sal cin,0.10297215,99.03737,98.87225
air pur,0.10268173,99.54715,99.086136
estudi independient,0.10213469,99.62478,99.73751
inf flor,0.10163961,89.535614,88.52796
segur excelent,0.101163,98.23259,97.608406
ciud salitr,0.10105578,99.63513,99.64029
zon segur,0.100644946,98.70615,98.65837
local comercial,0.10051326,99.8111,99.591675
alcob servici,0.10029117,99.435875,99.465294
estudi balcn,0.10020113,97.86513,98.21116
pis estudi,0.099561885,99.25473,99.47501
parqueader carr,0.0995189,99.76452,99.805565
independient terraz,0.09899019,99.684296,99.83473
estudi sal,0.09822675,98.91057,99.40697
social alcob ban,0.097508155,99.774864,99.84445
ampli comedor,0.097186364,99.77745,99.65973
lind edifici,0.09606778,99.575615,99.338905
nivel const alcob,0.09605701,99.72829,99.688896
sal junt,0.09563426,99.8111,99.52362
excelent zon residencial,0.095246375,99.79557,99.65973
espaci parqueader,0.09503053,98.99079,99.2514
duplex sant,0.0949424,99.42035,99.241684
sal star,0.09449727,99.73347,99.61112
ban inclu,0.09447297,98.77342,98.745865
espaci ampli,0.0937127,99.75675,99.73751
mtrs2 constru,0.09368165,99.69982,99.6014
pati interior,0.09360523,98.78119,98.83337
const nivel garaj,0.09357576,99.60407,99.62084
espaci gener,0.093545236,99.05548,99.15419
comunal terraz comunal,0.09347541,98.76825,98.43476
centr comercial hayue,0.0928172,99.54456,99.43613
sal auxili,0.09271208,99.81886,99.688896
sant barb,0.09244238,99.40482,99.41669
balcon terraz,0.0919681,99.614426,99.61112
nivel local,0.09192267,99.76969,99.98056
terraz sal comedor,0.09130209,95.792404,96.159836
estudi parqueader deposit,0.091034554,99.244385,99.329185
zon exclus,0.09047026,99.25732,99.36807
chimene gas,0.09032499,98.483604,98.45421
antejardin garaj,0.09030322,97.49508,97.21953
sal sal comedor,0.090257645,99.710175,99.72778
